ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000226,Plumstead,0.540673,22.6,28.2,38.8
E05000227,Shooters Hill,1.382442,19.1,29.7,23.7
E05000228,Thamesmead Moorings,0.621163,29.4,33.7,35.6
E05000229,Woolwich Common,1.423948,27.8,27.2,48.4
E05000230,Woolwich Riverside,0.946081,31.9,33.1,49.7
E05000231,Brownswood,7.18869,39.5,9,57.3
E05000232,Cazenove,7.443261,33.2,8.5,53.6
E05000233,Chatham,8.39541,32.7,9.3,61.4
E05000234,Clissold,12.83982,33.8,7.1,49.9
E05000235,Dalston,11.72072,40.5,7.1,62.1
E05000236,De Beauvoir,9.181637,39.2,5.5,57.7
E05000237,Hackney Central,10.04539,34.2,8.5,62.7
E05000238,Hackney Downs,10.30867,34.8,8.3,55.1
E05000239,Haggerston,7.385212,39.7,6,66.4
E05000240,Hoxton,5.988462,34.2,5.7,67.5
E05000241,King's Park,6.895238,24.4,8.9,52.4
E05000242,Leabridge,9.328078,34.2,8.7,50.9
E05000243,Lordship,8.128816,31.8,7.7,52
E05000244,New River,3.551622,27.5,8,55
E05000245,Queensbridge,11.47328,34.3,6.6,55.7
E05000246,Springfield,3.363371,26.8,7.9,52
E05000247,Stoke Newington Central,12.70504,37.7,7.5,53.9
E05000248,Victoria,9.538033,32.4,7.6,54.8
E05000249,Wick,8.018868,29.2,9.3,52.7
E05000250,Addison,5.263711,36.7,7.9,51.7
E05000251,Askew,5.839481,33.4,14.1,48.1
E05000252,Avonmore and Brook Green,3.971547,34.2,7.6,54.4
E05000253,College Park and Old Oak,2.692585,27.2,10.5,56.5
E05000254,Fulham Broadway,5.232105,35.6,7.3,54.4
E05000255,Fulham Reach,5.248152,33.9,11.3,51
E05000256,Hammersmith Broadway,4.710376,29.9,12.2,52.7
E05000257,Munster,6.138393,37.4,9.5,38.9
E05000258,North End,4.165818,38.2,8.5,59.3
E05000259,Palace Riverside,6.444644,24.5,11.9,28.2
E05000260,Parsons Green and Walham,4.407549,29.8,6.9,33.7
E05000261,Ravenscourt Park,5.403129,27.3,14.8,39.6
E05000262,Sands End,4.886318,32,6.7,43.2
E05000263,Shepherd's Bush Green,5.239386,35.6,10.3,58
E05000264,Town,5.028368,39.1,9.1,45.3
E05000265,Wormholt and White City,3.515546,27.3,13.5,52.7
E05000266,Alexandra,3.197542,22.3,19.5,20.2
E05000267,Bounds Green,1.633154,31,28.8,45
E05000268,Bruce Grove,2.555223,28,17,51.7
E05000269,Crouch End,5.701094,32,8.6,32.2
E05000270,Fortis Green,3.537504,24.7,16.6,24.4
E05000271,Harringay,4.49811,37.8,11.9,55.1
E05000272,Highgate,4.326557,32.3,7,33.9
E05000273,Hornsey,4.645304,31.2,12,42.1
E05000274,Muswell Hill,4.583283,25,11.4,24.9
E05000275,Noel Park,1.875929,31.4,14.9,55.2
E05000276,Northumberland Park,1.045921,23.8,23.9,54.1
E05000277,St Ann's,3.642094,33.2,12.6,53.8
E05000278,Seven Sisters,3.042269,31.1,10,48.3
E05000279,Stroud Green,6.434655,34.6,9.4,46
